IMPORT_OK
import time: self [us] | cumulative | imported package
import time:       730 |       1085 |                           pydantic_settings.sources.providers.azure
import time:       461 |        461 |                             shlex
import time:      7265 |       7726 |                           pydantic_settings.sources.providers.cli
import time:      1282 |       1282 |                                 dotenv.parser
import time:       864 |        864 |                                 dotenv.variables
import time:      1657 |       3801 |                               dotenv.main
import time:       460 |       4261 |                             dotenv
import time:       985 |       5245 |                           pydantic_settings.sources.providers.dotenv
import time:      1172 |       1172 |                           pydantic_settings.sources.providers.gcp
import time:       362 |        362 |                           pydantic_settings.sources.providers.json
import time:       472 |        472 |                             pydantic_settings.sources.providers.toml
import time:       364 |        836 |                           pydantic_settings.sources.providers.pyproject
import time:       524 |        524 |                           pydantic_settings.sources.providers.secrets
import time:       527 |        527 |                           pydantic_settings.sources.providers.yaml
import time:       651 |      19778 |                         pydantic_settings.sources.providers
import time:        13 |      19790 |                       pydantic_settings.sources.providers.aws
import time:       880 |        880 |                       pydantic_settings.sources.providers.nested_secrets
import time:       375 |      25255 |                     pydantic_settings.sources
import time:      2651 |      39292 |                   pydantic_settings.main
import time:       227 |        227 |                   pydantic_settings.version
import time:       534 |      40499 |                 pydantic_settings
import time:       390 |        390 |                   starlette
import time:       363 |        363 |                       starlette.exceptions
import time:       406 |        768 |                     starlette.concurrency
import time:       324 |        324 |                     starlette.types
import time:      3153 |       4243 |                   starlette.datastructures
import time:       346 |        346 |                   starlette.middleware
import time:       712 |        712 |                       html.entities
import time:       356 |       1067 |                     html
import time:       623 |        623 |                     starlette._utils
import time:       691 |        691 |                       http.cookies
import time:       288 |        288 |                               python_multipart.exceptions
import time:       638 |        925 |                             python_multipart.decoders
import time:      4716 |       5641 |                           python_multipart.multipart
import time:       402 |       6042 |                         python_multipart
import time:      1427 |       7469 |                       starlette.formparsers
import time:      1530 |       9689 |                     starlette.requests
import time:       259 |        259 |                         hmac
import time:       277 |        536 |                       secrets
import time:       276 |        276 |                       starlette.background
import time:      2392 |       3203 |                     starlette.responses
import time:       858 |      15437 |                   starlette.middleware.errors
import time:      1112 |       1112 |                       starlette.websockets
import time:       345 |       1456 |                     starlette._exception_handler
import time:       513 |       1969 |                   starlette.middleware.exceptions
import time:       449 |        449 |                     starlette.convertors
import time:      3098 |       3547 |                   starlette.routing
import time:      1206 |      27135 |                 starlette.applications
import time:       687 |        687 |                   starlette.authentication
import time:       398 |       1085 |                 starlette.middleware.authentication
import time:       314 |        314 |                     mcp.server.auth
import time:       161 |        474 |                   mcp.server.auth.middleware
import time:      2784 |       2784 |                       mcp.shared.auth
